"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
43,259075,0,0.538,92.059,30,43
21,380737,0,0.227,69.059,46,21
31,216586,0,0.498,94.8,37,31
24,170510,0,0.625,129.969,79,24
48,209092,0,0.415,137.796,58,48
35,380624,0,0.733,128.01,84,35
69,254653,0,0.467,131.993,31,69
44,217500,0,0.536,127.958,26,44
53,181241,0,0.813,67.942,22,53
54,517400,0,0.792,118.066,9,18
0,291440,0,0.498,96.459,64,18
0,291440,0,0.498,96.459,104,18
0,242520,0,0.696,95.004,33,0
0,242520,0,0.696,95.004,91,0
45,263733,0,0.38,152.498,88,45
32,262920,0,0.774,76.499,96,32
32,130907,0,0.195,74.039,102,32
44,210679,0,0.425,97.498,62,45
47,185195,0,0.487,97.51,62,45
44,233946,0,0.383,180.089,62,45
63,273866,0,0.454,122.531,26,63
16,370000,0,0.533,174.988,28,16
0,210893,0,0.491,118.161,35,0
31,181933,0,0.56,164.962,26,31
9,161484,0,0.828,128.009,14,9
4,242694,0,0.699,130.027,14,4
87,206710,1,0.644,179.951,69,92.3333333333333
93,173119,0,0.876,122.016,68,92.3333333333333
97,243716,0,0.65,106.672,89,92.3333333333333
42,186400,0,0.57,72.587,83,55.75
58,160906,0,0.633,81.976,85,55.75
67,217346,0,0.623,124.431,35,55.75
56,180053,0,0.548,142.568,64,55.75
19,82760,0,0.427,121.578,2,24
29,219746,0,0.762,126.005,2,24
22,394840,0,0.795,93.006,2,22
28,174680,0,0.736,104.981,2,28
84,207540,0,0.582,121.991,20,43
2,232058,0,0.524,135.962,20,43
41,170568,0,0.706,94.039,90,41
28,140769,0,0.619,142.917,79,28
35,89440,0,0.465,102.496,62,39.5
44,189386,0,0.367,175.106,62,39.5
48,172920,0,0.698,136.803,88,48
50,178533,0,0.413,91.645,36,50
38,481535,0,0.393,175.276,36,38
52,140677,0,0.478,143.585,39,52
52,176760,0,0.617,140.082,39,52
39,156375,1,0.581,179.727,113,39
25,223133,1,0.59,96.429,83,25
10,380400,0,0.666,136.991,11,10
46,272173,0,0.525,136.627,10,46
