"popularity","valence","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
17,0.698,239976,0,0.556,135.99,47,24.0909090909091
16,0.657,200880,0,0.687,127.027,47,24.0909090909091
30,0.401,205116,0,0.449,172.06,47,24.0909090909091
23,0.814,278000,0,0.801,122.136,47,24.0909090909091
20,0.786,217073,0,0.668,136.034,47,24.0909090909091
23,0.759,208227,0,0.696,134.028,47,24.0909090909091
54,0.116,262550,0,0.535,154.872,47,54
37,0.721,199226,0,0.474,110.236,101,37.7857142857143
38,0.473,167115,0,0.527,102.538,86,37.7857142857143
42,0.648,214573,0,0.453,104.258,86,37.7857142857143
42,0.648,214573,0,0.453,104.258,87,37.7857142857143
38,0.473,167115,0,0.527,102.538,101,37.7857142857143
34,0.498,160893,0,0.351,120.582,101,37.7857142857143
42,0.648,214573,0,0.453,104.258,101,37.7857142857143
34,0.554,160231,0,0.446,100.954,101,37.7857142857143
35,0.511,107053,0,0.412,126.578,101,37.7857142857143
37,0.721,199226,0,0.474,110.236,87,37.7857142857143
34,0.6,148480,0,0.394,95.153,101,37.7857142857143
38,0.473,167115,0,0.527,102.538,87,37.7857142857143
43,0.36,226041,0,0.572,99.963,86,37.7857142857143
35,0.511,107053,0,0.412,126.578,87,37.7857142857143
20,0.189,278560,0,0.422,95.927,76,22.1666666666667
20,0.0396,390680,0,0.164,140.015,76,22.1666666666667
22,0.0374,386733,0,0.193,81.259,76,22.1666666666667
24,0.0348,334200,0,0.128,64.484,76,22.1666666666667
24,0.133,306106,0,0.176,147.951,76,22.1666666666667
23,0.176,267480,0,0.164,71.933,76,22.1666666666667
38,0.312,118583,0,0.469,149.883,33,38
36,0.764,165708,0,0.646,145.06,33,36
68,0.756,166924,0,0.715,123.954,54,68
2,0.54,190746,1,0.829,143.935,88,11.6666666666667
1,0.488,134137,1,0.888,142.974,88,11.6666666666667
67,0.538,190746,1,0.83,143.892,88,11.6666666666667
0,0.488,134137,1,0.888,142.974,88,11.6666666666667
0,0.462,164608,1,0.884,140.997,88,11.6666666666667
0,0.488,134137,1,0.888,142.974,88,11.6666666666667
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
1,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
0,0.346,193970,1,0.869,140.89,88,0.111111111111111
35,0.826,201933,0,0.524,93.831,107,35
83,0.732,140533,1,0.701,91.007,81,83
23,0.898,100500,1,0.795,80.037,42,23
44,0.345,143814,0,0.542,104.026,107,44
43,0.704,165952,0,0.84,126.002,107,43
34,0.701,158480,0,0.653,77.539,99,29.3571428571429
26,0.881,61480,0,0.637,83.271,99,29.3571428571429
28,0.352,35573,0,0.274,168.752,99,29.3571428571429
30,0.765,155400,0,0.53,162.108,99,29.3571428571429
30,0.528,140280,0,0.488,103.898,99,29.3571428571429
30,0.4,165613,0,0.47,86.621,99,29.3571428571429
30,0.487,101946,0,0.527,169.072,99,29.3571428571429
32,0.568,151826,0,0.539,173.891,99,29.3571428571429
28,0.326,395026,0,0.348,168.763,99,29.3571428571429
27,0.517,46773,0,0.497,199.422,99,29.3571428571429
29,0.381,108453,0,0.574,116.997,99,29.3571428571429
27,0.469,171306,0,0.683,87.639,99,29.3571428571429
33,0.602,284760,0,0.524,169.547,99,29.3571428571429
27,0.357,60240,0,0.626,94.626,99,29.3571428571429
44,0.838,264360,0,0.579,77.893,22,44
51,0.628,160038,1,0.864,95.95,95,51
21,0.48,129052,0,0.461,121.44,83,21
21,0.867,165348,0,0.449,130.14,83,21
79,0.805,278386,1,0.801,87.277,38,70.875
69,0.663,238053,1,0.794,80.569,38,70.875
67,0.388,312373,1,0.772,82.05,38,70.875
75,0.717,281600,1,0.874,95,38,70.875
64,0.804,223973,1,0.897,97.6,38,70.875
71,0.595,262506,1,0.598,172.329,38,70.875
70,0.673,330760,1,0.795,95.44,38,70.875
72,0.322,280000,1,0.773,84.115,38,70.875
77,0.843,307773,1,0.872,93.279,38,77
81,0.586,312626,1,0.916,95.19,38,81
68,0.806,296906,1,0.802,90.189,38,68
79,0.761,284906,1,0.763,91.519,38,79
69,0.854,246533,1,0.849,99.258,38,69
73,0.331,268826,1,0.865,111.113,38,73
23,0.666,229013,0,0.606,92.094,13,23
49,0.236,163000,1,0.583,119.942,38,49
1,0.489,234626,0,0.544,99.039,4,34.5
76,0.233,238733,0,0.557,143.994,45,34.5
64,0.308,232013,0,0.551,143.734,72,34.5
0,0.305,238373,0,0.674,128.003,45,34.5
0,0.489,234626,0,0.544,99.039,4,34.5
76,0.233,238733,0,0.557,143.994,72,34.5
0,0.305,238373,0,0.674,128.003,72,34.5
80,0.543,233933,0,0.545,99.009,72,34.5
0,0.305,238373,0,0.674,128.003,4,34.5
47,0.492,228626,0,0.495,153.955,45,34.5
0,0.305,238373,0,0.674,128.003,3,34.5
76,0.233,238733,0,0.557,143.994,4,34.5
1,0.489,234626,0,0.544,99.039,72,34.5
0,0.193,238560,0,0.556,143.991,4,34.5
0,0.489,234626,0,0.544,99.039,91,34.5
70,0.374,260333,0,0.53,148.095,45,34.5
80,0.543,233933,0,0.545,99.009,3,34.5
59,0.282,241960,0,0.529,127.962,45,34.5
80,0.543,233933,0,0.545,99.009,4,34.5
0,0.489,234626,0,0.544,99.039,45,34.5
70,0.374,260333,0,0.53,148.095,72,34.5
48,0.47,232933,0,0.638,97.021,45,34.5
1,0.489,234626,0,0.544,99.039,91,34.5
64,0.308,232013,0,0.551,143.734,45,34.5
0,0.305,238373,0,0.674,128.003,91,34.5
60,0.389,264800,0,0.493,147.913,45,34.5
0,0.193,238560,0,0.556,143.991,72,34.5
62,0.306,265906,0,0.487,95.982,45,34.5
0,0.193,238560,0,0.556,143.991,3,34.5
0,0.489,234626,0,0.544,99.039,72,34.5
0,0.193,238560,0,0.556,143.991,91,34.5
76,0.233,238733,0,0.557,143.994,3,34.5
50,0.219,256013,0,0.462,77.004,45,34.5
1,0.489,234626,0,0.544,99.039,45,34.5
53,0.402,222506,0,0.498,145.852,45,34.5
0,0.193,238560,0,0.556,143.991,45,34.5
52,0.68,235360,0,0.608,97.991,45,34.5
80,0.543,233933,0,0.545,99.009,45,34.5
57,0.237,232066,0,0.541,131.922,45,34.5
1,0.489,234626,0,0.544,99.039,3,34.5
0,0.489,234626,0,0.544,99.039,3,34.5
64,0.308,232013,0,0.551,143.734,3,34.5
47,0.142,271373,0,0.475,147.425,45,47
54,0.491,243053,0,0.478,92.004,45,54.5
55,0.158,235640,0,0.469,144.045,45,54.5
28,0.543,294373,0,0.511,160.043,85,27.5
27,0.813,237906,0,0.749,99.67,85,27.5
28,0.436,234040,1,0.407,170.074,73,28
21,0.037,247386,0,0.383,96.85,47,19.8571428571429
22,0.502,276253,0,0.369,193.075,47,19.8571428571429
19,0.663,318960,0,0.528,185.015,47,19.8571428571429
17,0.697,318960,0,0.497,185.027,47,19.8571428571429
18,0.146,312733,0,0.553,102.513,47,19.8571428571429
24,0.07,399840,0,0.503,97.55,47,19.8571428571429
18,0.0382,310000,0,0.618,98.507,47,19.8571428571429
19,0.228,384870,0,0.612,144.803,47,19
23,0.268,256733,0,0.477,190.251,47,23
43,0.425,228187,0,0.744,80.038,10,45.8571428571429
47,0.514,280448,0,0.711,128.14,10,45.8571428571429
52,0.897,201459,0,0.75,136.937,10,45.8571428571429
44,0.387,190571,0,0.604,83.683,10,45.8571428571429
43,0.598,206803,0,0.859,121.96,10,45.8571428571429
46,0.48,197000,0,0.745,84.995,10,45.8571428571429
46,0.437,204800,0,0.736,75.015,10,45.8571428571429
48,0.862,180000,0,0.774,145.01,10,48
47,0.784,201200,0,0.9,110.011,10,47
46,0.537,238679,0,0.535,114.986,101,40.2083333333333
34,0.66,120666,0,0.516,113.369,101,40.2083333333333
39,0.884,173549,0,0.816,134.982,101,40.2083333333333
39,0.884,173549,0,0.816,134.982,69,40.2083333333333
41,0.568,141026,0,0.65,139.151,101,40.2083333333333
41,0.359,87866,0,0.494,166.003,69,40.2083333333333
42,0.962,128124,0,0.651,93.129,101,40.2083333333333
38,0.723,169133,0,0.555,135.088,101,40.2083333333333
41,0.938,120600,0,0.77,96.967,101,40.2083333333333
41,0.826,121990,0,0.772,97.946,101,40.2083333333333
39,0.6,169134,0,0.669,81.488,101,40.2083333333333
39,0.765,40893,0,0.431,171.764,69,40.2083333333333
41,0.568,141026,0,0.65,139.151,69,40.2083333333333
40,0.706,102160,0,0.727,122.059,69,40.2083333333333
34,0.507,121617,0,0.39,203.036,101,40.2083333333333
43,0.496,187000,0,0.748,118.194,101,40.2083333333333
46,0.537,238679,0,0.535,114.986,69,40.2083333333333
37,0.839,113346,0,0.868,99.989,101,40.2083333333333
41,0.826,121990,0,0.772,97.946,69,40.2083333333333
40,0.706,102160,0,0.727,122.059,101,40.2083333333333
41,0.938,120600,0,0.77,96.967,69,40.2083333333333
39,0.6,169134,0,0.669,81.488,69,40.2083333333333
41,0.359,87866,0,0.494,166.003,101,40.2083333333333
42,0.962,128124,0,0.651,93.129,69,40.2083333333333
36,0.904,170019,0,0.773,99.88,101,36
36,0.727,223364,0,0.674,127.897,101,36
36,0.563,116958,0,0.637,112.845,101,36
36,0.856,181920,0,0.671,125.105,101,36
32,0.559,117477,0,0.636,114.125,101,32
35,0.822,186266,0,0.685,104.015,101,35
39,0.671,163088,0,0.638,136.939,69,38.5
38,0.671,163088,0,0.638,136.939,101,38.5
38,0.421,191905,0,0.606,116.34,101,38
38,0.421,191905,0,0.606,116.34,69,38
38,0.8,254106,1,0.61,153.547,72,38
53,0.189,257866,0,0.411,142.987,45,53
57,0.439,124187,0,0.604,134.143,95,61.2222222222222
76,0.31,137806,0,0.835,154.973,95,61.2222222222222
66,0.407,197902,0,0.777,80.992,95,61.2222222222222
56,0.204,202240,1,0.692,91.983,95,61.2222222222222
57,0.42,148324,0,0.826,116.472,95,61.2222222222222
56,0.631,162197,0,0.736,91.002,95,61.2222222222222
53,0.526,161906,0,0.857,144.075,95,61.2222222222222
